Bavarian,German,Is translation acceptable?
wollega,wolega,yes 
gemeinsams,gemeinsames,yes
rayon,rayons,yes
oberpfäizer,oberpfälzer,yes
inslchen,inselchen,yes
magiore,maggiore,yes
schleif,schleife,yes
dehnboare,dehnbare,yes
künischn,künischen,yes
moliseslawn,moliseslawen,yes
londhaus,landhaus,yes
seismischn,seismischen,yes
emeritiert,emeritierte,yes
saponara,saponaria,yes
klausnteich,klausenteich,yes
freizeidzentrum,freizeitzentrum,yes
weakraum,werkraum,yes
nordfuaß,nordfuß,yes
neierrichtung,neuerrichtung,yes
hainboch,hainbach,yes
vicosee,vicosees,yes
prototypn,prototypen,yes
faulbachs,faulbaches,yes
mansarddoch,mansarddach,yes
entwässart,entwässert,yes
rondzone,randzone,yes
musilabel,musiklabel,yes
eimündung,einmündung,yes
mettlachboch,mettlachbach,yes
grenzgebietn,grenzgebieten,yes
kiyomasu,kiyomasa,yes
frankoprovenzalischn,frankoprovenzalischen,yes
gsundheitsdistrikt,gesundheitsdistrikt,yes
gsäte,gesäte,yes
physiologische,physiologischen,yes
niederalemannisch,niederalemannische,yes
zürichsee,zürichsees,yes
präemptivs,präemptives,yes
nunzius,nuntius,yes
startgwicht,startgewicht,yes
stehends,stehendes,yes
slowak,slowake,yes
säg,säge,yes
suo,suō,yes
volkstimliche,volkstümliche,yes
semiarids,semiarides,yes
vierwaldstättersee,vierwaldstättersees,yes
emarèse,émarèse,yes
duftstoff,duftstoffe,yes
dorfkirch,dorfkirche,yes
finnischs,finnisches,yes
frängische,fränkische,yes
etrusker,etruskern,yes
etymologischs,etymologisches,yes
endstazion,endstation,yes
basaltkegl,basaltkegel,yes
beliebigs,beliebiges,yes
antiks,antikes,yes
arbeiterverein,arbeitervereins,yes
anglia,anglias,yes
atmospherische,atmosphärische,yes
berdorf,berndorf,yes
berufsoffizier,berufsoffiziere,yes
bio,bío,yes
kilianskirch,kilianskirche,yes
kanonischen,kanonischem,yes
landsknechte,landsknechten,yes
lokals,lokales,yes
hawiye,hawiya,yes
hemisphär,hemisphäre,yes
strauwing,straubing,yes
italienischs,italienische,yes
domän,domäne,yes
aichaboch,aichabach,yes
jamaika,jamaikas,yes
eihnimmt,einnimmt,yes
schluchtn,schluchten,yes
councils,council,yes
geofaktorn,geofaktoren,yes
alighieri,alighieris,yes
treppengraben,treppengrabens,yes
mainseitn,mainseite,yes
hauptinsl,hauptinsel,yes
landzunga,landzunge,yes
nuklearn,nuklearen,yes
histoarische,historische,yes
stochastischn,stochastischen,yes
gweihte,geweihte,yes
drehbuachautor,drehbuchautor,yes
nordrond,nordrand,yes
karolingischn,karolingischen,yes
entstommt,entstammt,yes
landmassn,landmasse,yes
noadostbayern,nordostbayern,yes
ziegelbach,zieglbach,yes
filialkirch,filialkirche,yes
flua,flur,yes
großherzogtum,großherzogtums,yes
morsbach,morsbachs,yes
entspringtm,entspringt,yes
fochgebiet,fachgebiet,yes
systematischn,systematischen,yes
evançon,évançon,yes
mayerhof,maierhof,yes
strickn,stricken,yes
houchhaus,hochhaus,yes
kenigliche,königliche,yes
silbersee,silbersees,yes
signatua,signatur,yes
liturgischn,liturgischen,yes
gwinnung,gewinnung,yes
zuagriff,zugriff,yes
vesuv,vesuvs,yes
biagt,biegt,yes
westend,westende,yes
proletariat,proletariats,yes
westungarn,westungarns,yes
wildpark,wildparks,yes
much,muchs,yes
ätna,ätnas,yes
montesquieu,montesquieus,yes
nohl,nohls,yes
ziegelbach,ziegelbachs,yes
nochbau,nachbau,yes
touristischs,touristisches,yes
ungsättigte,ungesättigte,yes
turkmenistan,turkmenistans,yes
säck,säcke,yes
teamkolleg,teamkollege,yes
vorhandne,vorhandene,yes
puntland,puntlands,yes
seeweg,seewegs,yes
venn,venns,yes
sidfrankreich,südfrankreich,yes
