Bavarian,German,Meaning
Am 1. Mai 1978 is Höfen zum Moakt Rattelsdorf kumma.,Am 1. Mai 1978 kam Höfen zum Markt Rattelsdorf.,5.0
"Da Eugen mehrmois aus Rom fliehn hot miassn, hot er dort nur an geringa Teil von seim Pontifikat vabrocht.",Eugen musste mehrmals aus Rom fliehen.,3.0
Ea fliaßd donoch duach Bourton-on-the-Water und wendd se duat eaneid in sidlicha Richtung.,Er fließt danach durch Bourton-on-the-Water und wendet sich dort erneut in südlicher Richtung.,5.0
Des Gmoagebiet umfosst a Fläch vo 20 km².,Das Gemeindegebiet umfasst eine Fläche von 20 km².,5.0
"Ea hod noch da Voikszejung vom IBGE vo 2010 7581.051 Eihwohna, de Paraensa gnennd wean.","Er hat nach der Volkszählung des IBGE von 2010 7.581.051 Einwohner, die Paraenser genannt werden.",5.0
As Arrondissement Dunkerque is a Vawoitungseihheit van franzesischn Départements Nord innahoib vo da Region Hauts-de-France.,Das Arrondissement Dunkerque ist eine Verwaltungseinheit des französischen Départements Nord innerhalb der Region Hauts-de-France.,5.0
Deshoib is vom 8. Novemba 1928 bis zum 27. Aprui 1930 de „Echelsbacher Bruck“ fia 900 000 RM baut worn.,Deshalb wurde vom 8. November 1928 bis 27. April 1930 die Echelsbacher Brücke für 900.000 RM gebaut.,5.0
Da nerdliche Wendekroas tangiad ba 23° 27′ neadlicha Broadn an Sidrond vo da Stod.,Der nördliche Wendekreis tangiert bei 23° 27′ nördlicher Breite den Südrand der Stadt.,5.0
"Da Bau steht im digital'n ""Kulturgüterkataster der Stadt Wien"".",Der Karl-Wrba-Hof ist eine städtische Wohnhausanlage im 10. Wiener Gemeindebezirk Favoriten.,2.0
Chanu liegt uma siem Kilometa westsidwestli vo Flers.,Chanu liegt etwa sieben Kilometer westsüdwestlich von Flers.,5.0
As Gebiet um Campbeltown wead aa ois eingständige schottische Whiskyregion gfiahd.,Das Gebiet um Campbeltown wird auch als eigenständige schottische Whiskyregion geführt.,5.0
"Af diesm Weg duachfliassd ea 'n Mission Trails Regional Park, dea zu de gressdn Stodparks in de Vaoanigtn Stootn zejd.","Auf diesem Weg durchfließt er den Mission Trails Regional Park, der zu den größten Stadtparks in den Vereinigten Staaten zählt.",5.0
Reistenhausen und Fechenbach san bauli zammgwoxn.,Reistenhausen und Fechenbach sind baulich zusammengewachsen.,5.0
"De Metropolitanstod Bari (dt.: Metropolitanstadt Bari, (italienisch): Città Metropolitana di Bari) is a Metropolitanstod in da italienischn Region Apulien.","Die Metropolitanstadt Bari (italienisch ""Città Metropolitana di Bari"") ist eine Metropolitanstadt in der italienischen Region Apulien.",4.0
De Nochboaorte vo Saviano san: Nola und San Gennaro Vesuviano.,Die Nachbarorte von Saviano sind Nola und San Gennaro Vesuviano.,5.0
Im Joar 1983 is de Schui gschlossn worn.,Im Jahr 1983 wurde die Schule geschlossen.,5.0
"Es existian de Gemarkunga Huisheim, Gosheim und Lommersheim.","Es gibt die Gemarkungen Huisheim, Gosheim und Lommersheim.",5.0
Se is Tei vo da Comunità Montana Zona del Lambro e del Mingardo.,Sie ist Teil der Comunità Montana Zona del Lambro e del Mingardo.,5.0
" महर्षि, &lt; mahā + ṛṣi) is de Bezeichnung vo om geistlichn Wiadnträga in Indien."," महर्षि, &lt; mahā + ṛṣi) ist die Bezeichnung eines geistlichen Würdenträgers in Indien.",
"De Nochboagmoana san: Chambave, Champorcher, Châtillon, Fénis, Issogne, Montjovet, Pontey und Verrès.","Die Nachbargemeinden sind Chambave, Champorcher, Châtillon, Fénis, Issogne, Montjovet, Pontey und Verrès.",5.0
"De Nochboagmoana san Calosso, Camo, Canelli, Castiglione Tinella, Coazzolo, Cossano Belbo, Loazzolo und Mango.","Die Nachbargemeinden sind Calosso, Camo, Canelli, Castiglione Tinella, Coazzolo, Cossano Belbo, Loazzolo und Mango.",5.0
Im Zug vo de Vawoitungsreforma in Bayern san midm Gmoaedikt vo 1818 de Gmoana Großwelzheim und Dettingen am Main entstondn.,Im Zuge der Verwaltungsreformen in Bayern entstanden mit dem Gemeindeedikt von 1818 die Gemeinden Großwelzheim und Dettingen am Main.,5.0
"An Bezruč sa Dichtung u Poetik is konkret, regional varankat, ""bálládisch"", nazional u sozial gstimmt, owa aa ""lejdarisch"" u pseidofolkloristisch.","Karel widmete sich dem Drama, dem Realismus und hauptsächlich der utopischen Literatur.",2.0
Ehemoiige Marinestreitkräfte san in da Listn vo de historischn Marinestreitkräfte gnennd.,Ehemalige Marinestreitkräfte sind in der Liste der historischen Marinestreitkräfte genannt.,5.0
Wartmannsroth is a Gmoa im untafränkischn Landkroas Bad Kissingen.,Wartmannsroth ist eine Gemeinde im unterfränkischen Landkreis Bad Kissingen.,5.0
"Sein Noma hod de Ortschoft ""Laudenbach"" vom Laudenbach, der gengüba in de Kahl mindt.","Seinen Namen hat die Ortschaft ""Laudenbach"" vom Laudenbach, der gegenüber in die Kahl mündet.",5.0
Lückeroth hod 1939 a Lehr zum Vasicharungskaufmogehuifn beendt und hod nochm Zwoatn Wödkriag in am Kölna Vasicherungsuntanehmn goabat.,Lückeroth beendete 1939 eine Lehre zum Versicherungskaufmannsgehilfen und arbeitete nach dem Zweiten Weltkrieg in einem Kölner Versicherungsunternehmen.,5.0
"De meistn vo seine Schnitzarbeitn warn für den christlichn Hausgebrauch: Kreiz fian Herrgodswinkel, Krippal, Muaddagottesfigurn, Heilige, Engal und Haussegn.","Neben Neubestellungen von Kruzifixen, Madonnen, Heiligen- und Krippenfiguren wurden ihm regelmäßig beschädigte Schnitzereien zur Restaurierung übergeben.",2.0
Fechenbach is 1214 easchtmoi urkundli eawähnt worn.,Fechenbach wurde 1214 erstmals urkundlich erwähnt.,5.0
Da Sitz vo da Vawoitung is Jackson.,"Der Verwaltungssitz (County Seat) ist Jackson, das nach Präsident Andrew Jackson benannt wurde.",4.0
Sitz vo da Vawoitungsgmoaschoft is in Heustreu.,Sitz der Verwaltungsgemeinschaft ist in Heustreu.,5.0
"Des Doaf liegt an oam rechtn Zuafluss vo da Ampfrach, de wiedarum a rechta Zuafluss vo da Wörnitz is.","Das Dorf liegt am Altweiherbach, der ein rechter Zufluss der Ampfrach ist, die wiederum ein rechter Zufluss der Wörnitz ist.",4.0
Im Joar 2011 hods 8439 Eihwohna ghod.,Im Jahr 2011 hatte es 8439 Einwohner.,5.0
"Da Gmoanam stommt vom ""Mons Aureus"" (goidna Beag).","Der Gemeindename stammt vom ""Mons Aureus"" (goldener Berg).",5.0
Da Sitz vo da Vawoitung is Homer.,"Der Verwaltungssitz (Parish Seat) ist Homer, benannt nach dem griechischen Dichter Homer.",4.0
"Er werd gebietsweise aa ""Mühlbach"" und ""Schleifersbach"" gnennt.","Er wird abschnittsweise auch ""Flurbach"", ""Mühlbach"" und ""Schleifersbach"" genannt.",4.0
Es bstähd aus 13 Kantone und 155 Gmoana.,Es besteht aus 13 Kantonen und 143 Gemeinden.,4.0
Dieses on sei hächsdn Punktn fost 5000 Meta houche Gebiag is kaum eafoaschd.,Dieses an seinen höchsten Punkten fast 5000 Meter hohe Gebirge ist kaum erforscht.,5.0
Naisa liegd im Ellerntal af ana Häh vo .,Naisa liegt im Ellerntal auf einer Höhe von .,
